Datetime,Close,Open,High,Low,Volume
2017-08-17,4285.08,4261.48,4485.39,4200.74,795.150377
2017-08-18,4108.37,4285.08,4371.52,3938.77,1199.888264
2017-08-19,4139.98,4108.37,4184.69,3850.0,381.309763
2017-08-20,4086.29,4120.98,4211.08,4032.62,467.083022
2017-08-21,4016.0,4069.13,4119.62,3911.79,691.74306
2017-08-22,4040.0,4016.0,4104.82,3400.0,966.684858
2017-08-23,4114.01,4040.0,4265.8,4013.89,1001.136565
2017-08-24,4316.01,4147.0,4371.68,4085.01,787.418753
2017-08-25,4280.68,4316.01,4453.91,4247.48,573.61274
2017-08-26,4337.44,4280.71,4367.0,4212.41,228.108068
2017-08-27,4310.01,4332.51,4400.0,4285.54,350.692585
2017-08-28,4386.69,4310.01,4399.82,4124.54,603.841616
2017-08-29,4587.48,4353.65,4625.85,4313.55,603.545028
2017-08-30,4555.14,4564.52,4647.51,4416.01,808.468771
2017-08-31,4724.89,4555.14,4745.42,4555.14,556.956802
2017-09-01,4834.91,4689.89,4885.55,4654.88,560.666366
2017-09-02,4472.14,4796.16,4939.19,4286.87,929.148595
2017-09-03,4509.08,4508.5,4714.76,4298.33,691.216198
2017-09-04,4100.11,4505.0,4527.49,3972.51,1394.644614
2017-09-05,4366.47,4106.97,4484.99,3603.0,1228.938157
2017-09-06,4619.77,4366.49,4662.87,4335.26,807.363726
2017-09-07,4691.61,4619.77,4788.59,4438.19,500.429975
2017-09-08,4282.8,4691.66,4735.39,4028.93,1132.255046
2017-09-09,4258.81,4282.8,4426.62,4150.06,658.782952
2017-09-10,4130.37,4258.81,4283.0,3801.0,660.373275
2017-09-11,4208.47,4153.62,4334.43,4098.91,699.989065
2017-09-12,4163.72,4208.6,4394.59,4040.8,879.630319
2017-09-13,3944.69,4159.72,4165.38,3760.0,913.462545
2017-09-14,3189.02,3944.0,3993.0,3165.13,1665.021543
2017-09-15,3700.0,3188.01,3856.0,2817.0,1968.866492
2017-09-16,3714.95,3674.01,3950.0,3470.66,1297.563953
2017-09-17,3699.99,3685.23,3748.21,3499.02,682.17121
2017-09-18,4035.01,3690.0,4123.2,3690.0,1030.006455
2017-09-19,3910.04,4060.0,4089.97,3830.91,902.332129
2017-09-20,3900.0,3910.04,4046.08,3820.0,720.935076
2017-09-21,3609.99,3889.99,3910.0,3567.0,1001.654084
2017-09-22,3595.87,3592.84,3750.0,3505.55,838.966425
2017-09-23,3780.0,3595.88,3817.19,3542.91,752.792791
2017-09-24,3660.02,3779.54,3789.99,3622.76,661.63639
2017-09-25,3920.75,3660.02,3979.87,3653.69,727.994713
2017-09-26,3882.35,3928.0,3976.99,3850.05,526.727987
2017-09-27,4193.0,3882.36,4249.94,3872.81,628.170966
2017-09-28,4174.5,4192.11,4300.0,4101.0,849.785325
2017-09-29,4174.69,4178.98,4263.86,3952.01,1602.309565
2017-09-30,4378.51,4175.0,4380.0,4138.1,720.353183
2017-10-01,4378.48,4378.49,4406.52,4240.04,726.963685
2017-10-02,4380.0,4400.0,4561.63,4360.0,655.756974
2017-10-03,4310.0,4380.0,4467.33,4180.8,1082.323563
2017-10-04,4208.59,4314.9,4373.0,4142.0,868.465101
2017-10-05,4292.43,4208.59,4355.0,4110.0,779.138638
2017-10-06,4369.0,4318.99,4417.0,4292.0,506.529176
2017-10-07,4423.0,4369.0,4479.5,4312.56,297.5975
2017-10-08,4640.0,4425.0,4658.0,4425.0,518.462004
2017-10-09,4786.95,4640.0,4889.98,4550.0,646.463145
2017-10-10,4783.06,4786.95,4960.0,4680.59,1043.221773
2017-10-11,4821.43,4783.06,4881.61,4710.0,753.429396
2017-10-12,5430.0,4821.43,5439.99,4810.16,1276.701482
2017-10-13,5649.98,5439.99,5846.17,5379.84,1879.82762
2017-10-14,5869.99,5650.0,5900.0,5580.01,970.759046
2017-10-15,5709.99,5855.03,5922.3,5400.01,1343.523375
2017-10-16,5760.02,5710.0,5788.91,5585.19,1528.996462
2017-10-17,5595.0,5760.0,5774.98,5508.63,1429.869376
2017-10-18,5512.06,5595.0,5596.0,5037.95,2317.804373
2017-10-19,5683.9,5513.0,5710.0,5490.26,1881.722107
2017-10-20,6010.01,5683.31,6110.0,5600.0,1972.97722
2017-10-21,6024.97,6013.72,6171.0,5850.03,1664.307693
2017-10-22,5950.02,6003.27,6060.0,5720.03,1362.092216
2017-10-23,5915.93,5975.0,6080.0,5621.03,1812.557715
2017-10-24,5477.03,5909.47,5925.0,5450.0,2580.418767
2017-10-25,5689.99,5506.92,5704.96,5286.98,2282.813205
2017-10-26,5861.77,5670.1,5939.99,5650.0,1972.965882
2017-10-27,5768.83,5861.77,5980.0,5649.24,1403.706416
2017-10-28,5719.64,5768.79,5850.02,5630.03,1276.754412
2017-10-29,6169.98,5709.98,6189.88,5648.01,1804.778173
2017-10-30,6120.5,6133.01,6248.68,6030.0,1473.687043
2017-10-31,6463.0,6120.52,6498.01,6100.0,1511.774925
2017-11-01,6753.98,6463.0,6774.67,6338.02,1675.615188
2017-11-02,7019.98,6753.98,7300.0,6685.1,2503.610803
2017-11-03,7115.04,7010.31,7346.34,6923.0,1891.497592
2017-11-04,7357.09,7115.02,7480.99,6901.0,1399.191767
2017-11-05,7345.01,7357.27,7590.25,7279.02,1207.83233
2017-11-06,6960.12,7345.1,7401.0,6906.0,1763.019261
2017-11-07,7064.04,6981.72,7198.49,6901.0,1440.259494
2017-11-08,7303.0,7070.0,7770.02,6651.0,2822.298802
2017-11-09,7079.99,7303.01,7392.0,7015.0,1913.398308
2017-11-10,6506.98,7079.0,7279.91,6255.01,3254.704105
2017-11-11,6245.05,6503.0,6797.98,6100.0,2754.156861
2017-11-12,5811.03,6245.05,6630.0,5325.01,4968.483069
2017-11-13,6465.99,5839.94,6697.47,5699.99,2621.243039
2017-11-14,6574.99,6465.99,6684.98,6311.07,1254.292531
2017-11-15,7240.06,6575.99,7298.0,6575.99,1779.605845
2017-11-16,7864.5,7240.14,7940.0,7076.0,2331.95675
2017-11-17,7699.19,7876.98,7989.0,7451.0,3982.395925
2017-11-18,7761.94,7680.01,7819.99,7422.0,3954.266477
2017-11-19,8038.0,7761.94,8123.15,7650.33,3867.340444
2017-11-20,8212.0,8057.11,8319.99,7954.0,3886.634348
2017-11-21,8119.51,8212.49,8400.0,7801.0,4544.474016
2017-11-22,8205.92,8091.09,8322.68,8091.09,3545.00571
2017-11-23,8019.99,8233.03,8260.0,8000.0,4093.952687
2017-11-24,8138.0,8019.97,8369.0,7850.0,4411.789112
